,Unnamed: 0,sentence_id,sentence,status,tense
0,73261,NWRW1800000045.299.7.3,((/돌아오던/) [날] /들른/) [한 서점]의 잡지 코너에서는 프랑스 주간지들이 민영 텔레비전 TF1에서 24년간의 주말 뉴스 앵커를 /마감한/ 클레르 샤잘(59)의 소식을 전하고 있었다.,x,xx
1,92455,NWRW1800000052.383.10.4,당장 이날 특검안이 제출되자마자 김정재 새누리당 원내대변인은 브리핑을 통해 “(고인의 죽음을 정쟁의 도구로 /이용하려는/) 야당의 [의도]가 아닌가 하는 우려가 앞선다.,n,pa
2,707,NWRW1800000021.105.3.2,((세계피겨선수권대회에 /참가한/) [선수들]에게 /허용되는/) [공식 훈련]은 개인당 하루에 40분이다.,ba,ptpa
3,102915,NWRW1800000056.94.5.1,"트럼프 대통령이 개인적으로 (시진핑 주석을 /치켜세우는/) [발언]을 거듭했지만, 시 주석은 개인적인 발언은 전혀 하지 않았다고 <워싱턴 포스트>는 짚었다.",h,ps
4,41812,NWRW1800000033.363.1.1,22일 주가가 다시 상한가로 돌아섰지만 개인들 사이에선 (‘대주주 매도 리스크’가 아직 채 가시지 /않은/) [모습]이다.,n,pt
5,82737,NWRW1800000048.402.8.2,다만 (유족들이 /요구하는/) [세월호특별법 시행령 폐기] 여부에 대해선 명확하게 밝히진 않았다.,c,pa
6,42607,NWRW1800000036.10.6.2,수출·수입의 동반 부진으로 경제성장률은 지난해 1분기 9.7%를 /찍은/ 이후 내리막길을 이어가고 있다.,x,xx
7,30549,NWRW1800000030.201.10.1,그러나 오후 5시에 /시작한/ 다음 경기에선 삼성이 5대4로 두산을 이겼다.,x,xx
8,53850,NWRW1800000038.242.11.2,그럼에도 /짓궂은/ 장난은 특별한 경우에만 한다.,x,xx
9,43097,NWRW1800000036.49.8.6,ㄱ씨는 국세청이 세무조사에 들어가자 (비밀전산실에 /보관된/) [자료]를 모두 파기할 정도로 치밀했다.,b,pt
10,13078,NWRW1800000025.86.2.5,(세계가 대한민국이 샴페인을 너무 빨리 터뜨렸다고 /하던/) [시절]이 있었다.,o,pt
11,39188,NWRW1800000033.173.14.1,"롯데백화점 관계자는 “30대 기혼 고객은 (‘블루독’이나 ‘캔키즈’ /같은/) [국내 브랜드]를 선호하지만 30대 미혼은 버버리, 구치, 랄프로렌칠드런 등 수입 아동복을 선호한다”며 “(아동복 매장에서 회원 가입을 /하는/) [미혼 이모와 고모]가 늘어나고 있다”고 전했다.",ba,pspa
12,77917,NWRW1800000046.300.3.1,박병호는 (빠던으로 /유명한/) [선수]다.,a,ps
13,55368,NWRW1800000038.360.10.2,정부의 기류가 급변하기 /시작한/ 것은 14일 저녁부터였다.,x,xx
14,24186,NWRW1800000028.387.5.2,남쪽의 회담 거부에 대해 <조선중앙통신>은 이날 북쪽 군사회담 대표단 대변인이 “대화 거절로 /초래되는/ 북남(남북) 관계의 파국적 후과(결과)가 얼마나 /큰/ 것인가를 통감하게 /될/ 것”이라고 밝혔다고 전했다.,x,xx
15,6264,NWRW1800000022.266.2.1,"(2001년 일본에서 /열린/) [국제 비보이 대회]에서 우승한 이래 2002년 독일, 2004년 프랑스에서 정상에 올랐다.",b,pt
16,4570,NWRW1800000022.99.9.2,작년 주가폭락으로 투자자들에게 원금손실 피해를 /입혔던/ 주가연계증권(ELS)은 요즘 인기 상품으로 변신했다.,x,xx
17,98762,NWRW1800000054.206.6.2,"(탈모에 대해서도 건보 적용을 /해달라는/) [탈모인들의 주장]에 대해 보건복지부 정통령 보험급여과장은 ""탈모 중 스트레스성 원형탈모증처럼 (질병과 /연관된/) [병적 탈모]는 이미 급여 대상""이라며 ""탈모는 미용 목적도 있어 모두 건보를 적용하기는 어렵지만, 질병 관련 탈모는 검토할 수 있을 것""이라고 말했다.",rb,psps
18,39620,NWRW1800000033.203.4.1,"(센터에 /있는/) [여성 경찰관이나 전문 상담원으로부터 바로 상담, 의료, 수사와 /관련한/ 도움을 받을 수 있다.",x,xx
19,72815,NWRW1800000045.250.7.6,(명예의 전당 가입 포인트 27점에 1점만을 /남겨둔/) [박인비]는 “지난해 아쉬운 마무리가 올해의 동기부여가 됐다.,a,pt
20,26179,NWRW1800000029.161.7.1,일본이 올해 31년 만에 무역수지가 적자(11월 말 누적 무역적자 2조2831억 엔)로 /돌아설/ 것으로 예상되지만 경상수지가 /흑자인/ 것도 이 /같은/ 무역외 수지 흑자 때문이다.,x,xx
21,3148,NWRW1800000021.410.3.2,그는 올 8월 말 정무수석비서관으로 기용된 이래 세종시와 4대강 예산 논란 등 /굵직굵직한/ 정치 현안을 다뤄왔다.,x,xx
22,25542,NWRW1800000029.92.10.1,○ /새로운/ 미국투자 상품도 등장,x,xx
23,27895,NWRW1800000029.368.5.1,총선을 앞두고는 /새로운/ 인재를 과감히 영입하겠다고도 말했다.,x,xx
24,74408,NWRW1800000046.26.7.3,"아사히신문은 의원들이 ""언론을 혼내주려면 광고료 수입을 없애는 게 최고""라면서 ""일본경제단체연합회를 압박하고 싶다""고 말했다고 전했다.",x,xx
25,69330,NWRW1800000044.285.7.1,두번째 골은 (1986년 월드컵 때 마라도나가 잉글랜드를 상대로 /넣은/) [골]과 매우 유사했다”고 전했다.,c,pt
26,25863,NWRW1800000029.129.7.4,"카다파가 상대적으로 소수이기 때문에 카다피 원수는 1969년 쿠데타 이후 (인구 100만 명을 /넘는/) (리비아 최대 /부족인/) [[와팔라]], 그리고 (다음 /가는/) [부족 마가리하]와 깊은 관계를 맺었다.",bqb,papsps
27,56882,NWRW1800000040.34.7.1,(양도세와 생애최초 취득세 면제를 받기 /위한/) [수요자들의 주택 거래]는 지난 5~6월에 많았던 것으로 분석된다.,a,ps
28,91442,NWRW1800000052.276.6.3,(5번째 경기에서 드디어 선발 출전 기회를 /잡은/) [김현수]는 (1-0으로 /앞선/) [2회말 1사 2루]에서 첫 타석에 등장해 상대 선발 제이크 오도리지의 143㎞ 투심 패스트볼을 받아쳤다.,bg,ptpt
29,87176,NWRW1800000049.320.4.1,"1992년 14대 총선과 1996년 15대 총선, 그리고 이번 20대 총선은 야권에 중량감 /있는/ 제3세력이 등장해 일여다야(一與多野) 구도를 /만들었다는/ 공통점이 있다.",x,xx
30,81627,NWRW1800000048.273.5.2,홍준표 경남도지사도 이완구 전 총리처럼 (성완종 전 경남기업 회장한테서 돈을 /받은/) [혐의]를 부인했다.,n,pt
31,72142,NWRW1800000045.176.3.1,(방산 비리 수사 /받던/) [前해군소장] 한강 투신,a,pt
32,96666,NWRW1800000054.34.2.1,[월드 톡톡] 노인 /돌봐줄/ 사람이 없어요… 일본으로 '간병 이민' 오세요,x,xx
33,96398,NWRW1800000054.12.4.3,"미줄리나 의원은 ""러시아에서 가족 관계는 부모의 힘과 권위로 뒷받침된다""며 ""이 법은 이러한 전통문화를 지키기 /위한/ 것""이라고 말했다.",x,xx
34,30921,NWRW1800000030.226.5.1,만약 /우선협상기한인/ 19일까지 계약이 이뤄지지 않으면 FA 선수들은 상대를 바꿔 다른 구단(해외 구단 포함)과 20일간 협상에 들어간다.,x,xx
35,81883,NWRW1800000048.297.10.1,"이에 야당 의원들이 항의하며 집단 퇴장하자, 고 이사장은 “제1야당 대표를 예로 /든/ 것에 대해 유감으로 생각한다”고 사과했다.",x,xx
36,81515,NWRW1800000048.259.7.1,"권 고문은 (국가교육위를 독립기구로 하되, 교육계의 폭넓은 추천을 받아 위원을 뽑고 임기를 10년 정도로 정해 정치 간섭을 /배제할/) [필요]가 있다고 짚었다.",o,fu
37,35781,NWRW1800000032.295.5.3,(하지만 (3연패의 위기에 /몰린/) [삼성화재]의 조직력이 (6연승으로 /잘나가던/) [현대]의 공격력을 /무너뜨린/) [경기]였다.,aan,ptptpt
38,17280,NWRW1800000026.120.52.5,반면 트리즈는 해결책을 다른 산업 분야에서 가져옴으로써 (그 산업에서 미처 생각하지 /못한/) 혁신적인 [방안]을 찾아낼 수 있습니다.,c,pt
39,51857,NWRW1800000038.78.12.2,인터넷의 등장과 함께 성적인 광고는 훨씬 더 뻔뻔해졌다.,x,xx
40,42683,NWRW1800000036.16.12.3,(이는 비슷한 품질의 상품과 비교했을 때 40%가량 /저렴한/) [수준]이다.,n,ps
41,13991,NWRW1800000025.174.5.5,유엔군 파견의 이유는 침략군 북한을 남한에서 /몰아내는/ 것이지 북한을 /점령하는/ 것이 /아니라는/ 것.,x,xx
42,105061,NWRW1800000056.350.5.1,당 차원 집권전략 수정 /드러난/ 셈,x,xx
43,27240,NWRW1800000029.284.5.2,박태환은 2008년 베이징 올림픽 자유형 400m에서 금메달을 딴 뒤 우쭐한 마음에 훈련을 등한시하다 2009년 로마 세계선수권대회에서 전 종목 결선 진출 좌절로 국민을 크게 실망시켰다.,x,xx
44,31316,NWRW1800000030.262.5.3,(중국과 일본에서도 무채색 자동차가 80%나 되지만 (튀는 것을 /거부하는/) [한국인]의 무채색 선호도가 가장 /높다는/) [얘기]다.,bm,paps
45,44552,NWRW1800000036.206.4.2,김 교수는 “(지난 10년간 부천시의 녹지축이나 대기 등 환경은 오히려 /악화된/) [측면]도 있다."라고 말했다.,n,pt
46,12211,NWRW1800000025.3.37.5,나와 남이 둘이 /아닌/ 자타불이(自他不二)의 경지에서 /이루어지는/ 지원은 바로 수행의 경지까지로 승화됩니다.,x,xx
47,48459,NWRW1800000037.163.5.1,그 덕분에 스트라이크는 애초 월급을 /줄/ 수 없어 /고용할/ 엄두도 못 /냈던/ 여비서 로빈 엘라코트와 함께 룰라의 죽음 뒤에 /감춰진/ 진실을 찾아 나선다.,x,xx
48,36544,NWRW1800000032.389.8.2,법원은 ((지난달 중순 해군이 /낸/) [‘공사방해 금지 가처분 신청’]에 /대한/) [결정]을 다음주 내릴 것으로 보인다.,cb,ptpa
49,104722,NWRW1800000056.315.3.1,(“여건이 갖춰지면 언제 어디서든 (김정은 위원장과 /만날/) [용의]가 /있다”는/) [의지]도 담았다.,nm,fups
50,17021,NWRW1800000026.104.4.1,"교황청 대변인 페데리코 롬바르디 신부는 NYT에 ""머피가 고령이었고 혐의가 대부분 (20년도 더 전에 /일어난/) [일들]이라 딱히 처벌하지 않은 것으로 알고 있다""고 설명했다.",b,pt
51,84532,NWRW1800000049.112.6.2,"“5년 전 인천가톨릭대 조형예술대에서 퇴임하면서 무엇을 하며 남은 생애를 보낼까 망설이며 ‘선교사로 나갈까, 작품을 할까’ 고민이 많았습니다.",x,xx
52,74955,NWRW1800000046.61.3.1,'잡초 레시피' /개발한/ 권포근·고진하 부부,x,xx
53,63047,NWRW1800000041.185.5.4,"4학년 때는 연극부장도 맡았고, 각종 공연 때는 비중 /있는/ 역을 도맡았다.",x,xx
54,26172,NWRW1800000029.161.4.4,화폐 가치가 급등하면 수출 채산성은 악화되지만 해외 구매력은 높아져 그만큼 싸게 해외 알짜기업을 /사들일/ 수 있다.,x,xx
55,87289,NWRW1800000049.328.13.2,"“지난해 보수혁신위원회처럼 6개월, 1년 기한으로 /할/ 수 없다.",x,xx
56,97462,NWRW1800000054.95.9.2,이유라는 예술이 인간의 장점뿐만 아니라 약점까지도 /표현할/ 수 있어야 한다고 믿는다.,x,xx
57,23509,NWRW1800000028.313.2.1,"또 전남 서해안과 남해안 일대는 (태풍의 접근 시점과 만조 시기가 /일치할/) [가능성]이 있어, (해일이나 범람에 /대한/) [주의]가 필요하다고 기상청은 덧붙였다.",na,fupa
58,88280,NWRW1800000049.401.6.2,실제로 원주는 최근 부동산 가격이 지속적으로 상승해 (제2영동고속도로 개통에 /대한/) [기대감]이 경제 효과로 이어지고 있다.,a,pa
59,70532,NWRW1800000044.392.4.2,"박 의원의 측근들은 “(주변에선 전당대회 출마를 /권유하는/) [이들]도 있으나, 현재로선 가능성이 그리 높지 않아 보인다”고 전했다.",a,pt
60,18393,NWRW1800000026.202.17.4,우리는 지도와 나침반에서 벗어나서 /똑같은/ 강을 두번이나 건넜다.,x,xx
61,80811,NWRW1800000048.151.13.3,"문화체육관광부장관 주도로 문학진흥기본계획을 5년마다 수립·시행하며 관련 사항을 심의하기 위해 문학진흥정책위원회를 두고, 국립문학관을 /설립한다는/ 것이다.",x,xx
62,48370,NWRW1800000037.155.8.3,(한국의 문화와 한반도 상황을 /이해하는/) [프로그램]도 마련됐다.,h,pa
63,95892,NWRW1800000053.359.5.2,"김 부총리는 “사회간접자본(SOC) 등의 투자는 축소하고 복지, 일자리는 /확대하는/ 방향으로 예산을 마련하고 있다”고 강조했다.",x,xx
64,62675,NWRW1800000041.154.7.5,훌륭했던 이전 노래를 /듣는/ 편이 낫다”고 했다.,x,xx
65,35291,NWRW1800000032.238.6.1,(검찰은 김 전 수석의 혐의가 확인되는 대로 구속영장을 /청구할/) [방침]이다.,n,fu
66,12155,NWRW1800000025.3.19.6,그런 내 마음의 실체와 욕심의 주체를 /살필/ 줄 알아야 합니다.,x,xx
67,14785,NWRW1800000025.277.16.1,■수입량 /늘리는/ 수밖에… 정부 “배추 관세 없애고 中서 긴급수입”,x,xx
68,4631,NWRW1800000022.103.10.1,"이 시장은 (""(업자가 /건넨/) [돈]을 모금단체 등에 전달했을 뿐 금품수수 의도는 /없었다""는/) [입장]으로 전해졌다.",cm,ptpt
69,85789,NWRW1800000049.218.4.2,황희찬은 (4일 아랍에미리트 두바이에서 /열린/) [아랍에미리트와의 평가전]에서 (2-0 승리를 확정 /짓는/) [쐐기 골]을 터뜨렸다.,ba,ptpt
70,46746,NWRW1800000036.423.7.2,(9월6일부터 매일 아침 1시간씩 ‘정책콘서트’를 펼치고 /있는/) [한국매니페스토실천본부 상임대표 강지원 후보]는 선거운동도 두 차례 ‘정책콘서트’로 대신했다.,a,ps
71,30931,NWRW1800000030.226.10.2,(두 선수는 해외진출을 모색하기 위해 에이전트까지 /고용한/) [상태]다.,n,pt
